seqnames,starts,ends,set,gene_name,gene_start,diff_next,diff_prev
chr11,64108373,64304981,train,FERMT3,64206677,19193.0,21406.0
chr20,4587931,4784539,train,PRNP,4686235,35674.0,437161.0
chr4,118587063,118783671,train,METTL14,118685367,153316.0,332364.0
chr14,21057759,21254367,test,OR5AU1,21156063,113431.0,51341.0
chr2,164523544,164720152,train,GRB14,164621848,221831.0,885836.0
chr1,42668964,42865572,train,C1orf50,42767268,17738.0,184.0
chr14,21566778,21763386,test,OR4E2,21665082,924187.0,30142.0
chr4,173431925,173628533,train,HAND2,173530229,754035.0,123849.0
chr1,12818305,13014913,train,PRAMEF7,12916609,30971.0,18339.0
chr3,49990603,50187211,train,RBM5,50088907,66137.0,148901.0
chr1,1209714,1406322,train,ACAP3,1308018,548.0,27583.0
chr14,63105809,63302417,test,RHOJ,63204113,114766.0,102247.0
chr5,177034774,177231382,train,NSD1,177133078,170666.0,46193.0
chr16,30096435,30293043,train,SLX1A,30194739,4491.0,433.0
chr17,48491968,48688576,train,HOXB3,48590272,3689.0,10643.0
chr11,5840315,6036923,train,TRIM5,5938619,8720.0,37843.0
chrX,120777625,120974233,test,CT47B1,120875929,2995.0,245779.0
chr7,6517312,6713920,valid,ZNF853,6615616,21705.0,25600.0
chr11,43827037,44023645,test,C11orf96,43925341,122639.0,44531.0
chr12,96808918,97005526,train,NEDD1,96907222,1608675.0,417648.0
chr5,140769936,140966544,train,PCDHA11,140868240,7061.0,12358.0
chr12,51491961,51688569,train,SCN8A,51590265,258501.0,187193.0
chr6,116181599,116378207,train,TSPYL1,116279903,181466.0,25731.0
chr5,668648,865256,train,ZDHHC11B,766952,84034.0,73557.0
chr20,63559378,63755986,valid,STMN3,63657682,127.0,30641.0
chr5,69068705,69265313,train,CCNB1,69167009,22538.0,73364.0
chr19,35430047,35626655,test,SBSN,35528351,5060.0,14693.0
chr16,4327401,4524009,train,CORO7,4425705,99.0,53858.0
chr6,145929477,146126085,train,GRM1,146027781,515911.0,63358.0
