seqnames,starts,ends,set,gene_name,gene_start,diff_next,diff_prev
chr16,53406107,53602715,train,AKTIP,53504411,197280.0,70435.0
chr1,230328067,230524675,train,PGBD5,230426371,216120.0,368382.0
chr7,44786648,44983256,train,PURB,44884952,94146.0,36869.0
chr5,180493236,180689844,train,SCGB3A1,180591540,58084.0,97129.0
chr7,50695158,50891766,train,GRB10,50793462,523356.0,228005.0
chr20,57261676,57458284,valid,MTRNR2L3,57359980,31426.0,8971.0
chr16,71786928,71983536,train,IST1,71885232,10016.0,39242.0
chr1,184947059,185143667,train,RNF2,185045363,111709.0,70813.0
chr1,6326483,6523091,train,ESPN,6424787,41304.0,117.0
chr16,1430383,1626991,train,TMEM204,1528687,83423.0,35344.0
chr19,5525742,5722350,train,SAFB2,5624046,50900.0,1012.0
chr1,11565819,11762427,train,FBXO6,11664123,27527.0,8338.0
chr13,33719744,33916352,train,RFC3,33818048,1124238.0,467418.0
chr22,21534411,21731019,test,CCDC116,21632715,9545.0,2651.0
chr1,153580332,153776940,train,NPR1,153678636,49430.0,7588.0
chr12,56590104,56786712,train,PTGES3,56688408,43187.0,42340.0
chr3,44877881,45074489,train,ZDHHC3,44976185,49997.0,945.0
chr3,186561911,186758519,test,HRG,186660215,57207.0,24247.0
chr3,128627817,128824425,train,RAB7A,128726121,153474.0,45046.0
chr2,100372177,100568785,train,NMS,100470481,92208.0,52825.0
chr9,128731517,128928125,train,SPOUT1,128829821,52290.0,11348.0
chr7,43631413,43828021,train,COA1,43729717,28962.0,146960.0
chr13,51931360,52127968,train,UTP14C,52029664,97998.0,17267.0
chr5,7297903,7494511,train,ADCY2,7396207,454978.0,683201.0
chr5,154760948,154957556,train,FAXDC2,154859252,78957.0,1700.0
chr11,6829357,7025965,train,ZNF215,6927661,92707.0,6688.0
chr19,43107470,43304078,test,PSG4,43205774,63756.0,19238.0
chr18,7468477,7665085,train,PTPRM,7566781,1042663.0,335657.0
chr2,32067536,32264144,train,SLC30A6,32165840,100014.0,102230.0
chr22,32313951,32510559,train,RTCB,32412255,52229.0,30203.0
chr19,2171455,2368063,train,JSRP1,2269759,531.0,20451.0
chr6,73264372,73460980,train,KHDC3L,73362676,32071.0,8381.0
chr22,31021765,31218373,train,SELENOM,31120069,2661.0,39620.0
chr1,243157044,243353652,train,CEP170,243255348,685.0,730652.0
chr2,159964306,160160914,train,PLA2R1,160062610,209278.0,157861.0
chrX,107946665,108143273,valid,VSIG1,108044969,46649.0,62599.0
chr1,32152934,32349542,train,LCK,32251238,40847.0,4006.0
chr6,170455037,170651645,valid,PSMB1,170553341,960.0,246776.0
chr22,28974773,29171381,train,KREMEN1,29073077,132773.0,11233.0
chr1,45652346,45848954,train,IPP,45750650,36336.0,63437.0
chr14,94462786,94659394,test,SERPINA4,94561090,17615.0,43246.0
chr4,2320359,2516967,train,ZFYVE28,2418663,310.0,156369.0
